hp_id,billing_acct_id,Date,Start,End
5,1,"Apr 10,2022",06:00,18:00
5,1,"Apr 11,2022",06:00,18:00
5,1,"Apr 13,2022",06:00,18:00
5,1,"Apr 14,2022",06:00,18:00
5,1,"Apr 15,2022",06:00,18:00
5,1,"Apr 16,2022",06:00,17:30
5,1,"Apr 17,2022",06:00,18:00
5,1,"Apr 18,2022",06:00,17:30
5,1,"Apr 20,2022",06:00,18:00
5,1,"Apr 21,2022",06:00,18:00
5,1,"Apr 22,2022",06:00,18:00
5,1,"Apr 23,2022",06:00,18:00
5,1,"Apr 24,2022",06:00,18:00
6,2,"Apr 10,2022",06:00,18:00
6,2,"Apr 11,2022",06:00,18:00
6,2,"Apr 13,2022",06:00,18:30
6,2,"Apr 14,2022",06:00,18:00
6,2,"Apr 15,2022",06:00,18:00
6,2,"Apr 16,2022",06:00,17:30
6,2,"Apr 17,2022",06:00,18:00
6,2,"Apr 18,2022",06:00,18:00
6,2,"Apr 19,2022",06:00,18:00
6,2,"Apr 20,2022",07:00,17:30
6,2,"Apr 21,2022",06:00,18:00
6,2,"Apr 22,2022",06:00,18:00
6,2,"Apr 24,2022",06:00,18:00
6,2,"Apr 24,2022",07:00,18:00
1,3,"Apr 11,2022",06:00,12:00
1,3,"Apr 13,2022",06:00,12:00
1,3,"Apr 15,2022",06:00,12:00
1,3,"Apr 18,2022",07:00,11:30
1,3,"Apr 22,2022",06:00,11:30
1,10,"Apr 11,2022",13:00,16:00
1,10,"Apr 13,2022",13:30,17:00
1,10,"Apr 15,2022",13:00,15:30
1,10,"Apr 18,2022",13:30,17:30
1,10,"Apr 20,2022",13:30,17:30
1,10,"Apr 22,2022",14:00,18:00
4,5,"Apr 10,2022",10:00,11:00
4,5,"Apr 12,2022",10:00,11:00
4,5,"Apr 14,2022",10:00,11:00
4,5,"Apr 17,2022",10:00,11:00
4,5,"Apr 21,2022",10:00,11:00
15,8,"Apr 12,2022",16:00,17:00
15,8,"Apr 14,2022",16:00,17:00
15,8,"Apr 19,2022",16:00,17:00
15,8,"Apr 21,2022",16:00,17:00
12,9,"Apr 11,2022",10:00,11:00
12,9,"Apr 15,2022",10:00,10:30
12,9,"Apr 18,2022",10:00,10:30
12,9,"Apr 22,2022",10:00,11:00
